wkt_geom,No,ST_NAME,ST_CODE,Control_og,BS_CODE,Gage_type,River_syst,A(km2),section_le,Slope,Out_len(km,thres_len(,Zero(EL.m),Zero_st(EL,Ebb_effect,Max_el(m),Time_Sirie,Daily_Siri,Longitude,Latitude,Latitude_d,Longitude_,X,Y
POINT(286621.84731498011387885 576529.98333642038051039),86,Hwachon,1014630,MOLIT,101404,T/M,Hangang,523.2,,,82.85,0,152.147,167.673,N,10,1989Y 03M?~ 2013Y 09M,1989Y 01M?~ 2013Y 09M,127.9833333,37.78444444,127-59-00,37-47-04,286621.847,576529.983
POINT(282953.27258590975543484 571435.23585237609222531),88,Gyulwun,1014640,MOLIT,101406,T/M,Hangang,724.89,,,72.72,,131.685,141.94,N,8,2007Y 05M?~ 2013Y 09M,2007Y 05M?~ 2013Y 09M,127.9411111,37.73888889,127-56-28,37-44-20,282953.273,571435.236
POINT(277498.24764384177979082 565616.1433959431014955),90,Hongcheon,1014650,MOLIT,101408,T/M,Hangang,879.14,151,1340,64.26,78.5,119.731,128.596,N,9,1965Y 07M?~ 2013Y 09M,1962Y 11M?~ 2013Y 09M,127.8786111,37.68694444,127-52-43,37-41-13,277498.248,565616.143
POINT(259165.57891806191764772 566204.58519225555937737),91,Seomyeon,1014680,MOLIT,101412,T/M,Hangang,1325.36,320,,27.1,110,68.288,77.547,N,8,1982Y 06M?~ 2013Y 09M,1984Y 01M?~ 2013Y 09M,127.6708333,37.69361111,127-40-15,37-41-37,259165.579,566204.585
POINT(253399.24374711909331381 563760.38591275864746422),93,Mogok,1014696,MOLIT,101414,T/M,Hangang,86.51,,,0.87,,58.438,64.023,N,3.7,2011Y 12M?~ 2013Y 09M,2011Y 12M?~ 2013Y 09M,127.6052778,37.67194444,127-36-19,37-40-19,253399.244,563760.386
POINT(237248.28168962654308416 569375.72705712751485407),94,Cheongpyeongdam,1015640,MOLIT,101502,T/M,Hangang,10028.57,,,29.99,,0.67,55.441,N,52,1975Y 07M?~ 2013Y 09M,1967Y 01M?~ 2013Y 09M,127.4225,37.72333333,127-25-21,37-43-24,237248.282,569375.727
POINT(236557.38588838709983975 570544.24533223267644644),95,Jojong,1015644,MOLIT,101504,T/M,Hangang,254.88,,,1.9,,31.222,40.789,N,8,2006Y 12M?~ 2013Y 09M,2006Y 11M?~ 2013Y 09M,127.4147222,37.73388889,127-24-53,37-44-02,236557.386,570544.245
POINT(234975.72894503391580656 568194.1856248650001362),96,Cheongpyeong,1015645,MOLIT,101506,T/M,Hangang,10300.89,384,730,20.3,207.8,22.417,39.884,N,16,1917Y 09M?~ 2013Y 09M,1914Y 11M?~ 2013Y 09M,127.3966667,37.71277778,127-23-48,37-42-46,234975.729,568194.186
POINT(221195.66569118632469326 525910.0573785356245935),98,WolChon,1016607,MOLIT,101602,T/M,Hangang,149.1,,,23.54,,49.553,56.745,N,5.39,2012Y 09M?~ 2013Y 09M,2012Y 09M?~ 2013Y 09M,127.2391667,37.33222222,127-14-21,37-19-56,221195.666,525910.057
POINT(223289.83709517517127097 534147.06388498679734766),99,Gyeongan,1016650,MOLIT,101603,T/M,Hangang,509.4,,,12,0,34.106,42.356,N,8,,,127.2630556,37.40638889,127-15-47,37-24-23,223289.837,534147.064
POINT(225923.80945284591871314 533353.2553816115250811),100,Dopyeong,1016660,MOLIT,101604,T/M,Hangang,138.36,,,3.03,0,36.123,45.626,N,7,2002Y 06M?~ 2013Y 09M,2001Y 02M?~ 2013Y 09M,127.2927778,37.39916667,127-17-34,37-23-57,225923.809,533353.255
POINT(226021.77272340160561725 541369.30799641425255686),101,Gwangdong,1016695,MOLIT,101605,T/M,Hangang,551.39,,,3.32,,-0.057,32.321,N,30.5,2006Y 12M?~ 2013Y 09M,2006Y 12M?~ 2013Y 09M,127.2941667,37.47138889,127-17-39,37-28-17,226021.773,541369.308
POINT(221135.03384177011321299 549802.91140585066750646),103,Paldangdaegyo,1018610,MOLIT,101801,T/M,Hangang,23812.6,500,,82.3,0,5.571,19.472,N,25,1994Y 12M?~ 2013Y 09M,1994Y 01M?~ 2013Y 09M,127.2391667,37.5475,127-14-21,37-32-51,221135.034,549802.911
POINT(217236.53783954062964767 571190.39082989585585892),104,Bupyeong,1018620,MOLIT,101802,T/M,Hangang,95.35,,,20.88,0,56.285,62.113,N,5,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,127.1955556,37.74027778,127-11-44,37-44-25,217236.538,571190.391
POINT(216067.85236850989167579 567827.44543497171252966),105,Yeonpyeong,1018623,MOLIT,101802,T/M,Hangang,25.62,,,0.6,0,44.501,49.048,N,4,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,127.1822222,37.71,127-10-56,37-42-36,216067.852,567827.445
POINT(214528.32689700930495746 565789.75420166598632932),106,Naegok,1018625,MOLIT,101802,T/M,Hangang,150.99,,,14.88,0,33.585,39.89,N,5,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,127.1647222,37.69166667,127-09-53,37-41-30,214528.327,565789.754
POINT(213408.83242386905476451 561163.25146328681148589),107,Toegyewon,1018630,MOLIT,101803,T/M,Hangang,202.2,240,,7,0,22.349,27.641,N,7,1984Y 07M?~ 2013Y 09M,1986Y 01M?~ 2013Y 09M,127.1519444,37.65,0127-09-07,37-39-00,213408.832,561163.251
POINT(212649.7180750333936885 560637.9365928708575666),108,Galmae,1018635,MOLIT,101803,T/M,Hangang,44.66,,,1.15,0,21.486,26.224,N,4,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,127.1433333,37.64527778,127-08-36,37-38-43,212649.718,560637.937
POINT(209769.98743317541084252 549565.96370780072174966),109,Gwangjang,1018640,MOLIT,101807,T/M,Hangang,24137,980,800,76.08,422.1,5.284,22.073,N,14,1963Y 07M?~ 2013Y 09M,1962Y 08M?~ 2013Y 09M,127.1105556,37.54555556,127-06-38,37-32-44,209769.987,549565.964
POINT(209596.00435439951252192 530081.47410223784390837),110,Gungnae,1018650,MOLIT,101804,T/M,Hangang,80.34,,,19.62,0,33.094,40.821,N,6,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,127.1083333,37.37,0127-06-30,37-22-12,209596.004,530081.474
POINT(210836.61163111950736493 541058.24989741714671254),111,Seongnam,1018655,MOLIT,101805,T/M,Hangang,203.8,,,8,0,9.555,20.559,N,9,1984Y 07M?~ 2013Y 09M,1986Y 01M?~ 2013Y 09M,127.1225,37.46888889,0127-07-21,37-28-08,210836.612,541058.25
POINT(205524.89086475735530257 547064.83215683919843286),112,Yeongdongdaegyo,1018662,MOLIT,101807,T/M,Hangang,,,,61,0,1.747,23.664,Y,18,2000Y 10M?~ 2013Y 09M,2000Y 03M?~ 2013Y 09M,127.0625,37.52305556,127-03-45,37-31-23,205524.891,547064.832
POINT(204701.18398033108678646 570618.76791747380048037),113,Singok,1018665,MOLIT,101808,T/M,Hangang,80.33,,,26.6,0,33.058,39.713,N,6,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,127.0533333,37.73527778,0127-03-12,37-44-07,204701.184,570618.768
POINT(204413.94091828764067031 558286.33525473531335592),114,Wui,1018670,MOLIT,101810,T/M,Hangang,157.12,,,14.51,0,16.359,24.01,N,5,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,127.05,37.62416667,127-03-00,37-37-27,204413.941,558286.335
POINT(206231.20643332606414333 554772.84549834521021694),115,Jungranggyo,1018675,MOLIT,101810,T/M,Hangang,208,,,8.3,0,9.165,18.665,N,9.5,1991Y 05M?~ 2013Y 09M,1994Y 04M?~ 2013Y 09M,127.0705556,37.5925,0127-04-14,37-35-33,206231.206,554772.845
POINT(199533.40848018130054697 546292.26337492663878947),116,Jamsugyo,1018680,MOLIT,101811,T/M,Hangang,24578,,,50.2,0,-0.068,11.203,Y,13,1984Y 07M?~ 2013Y 09M,1987Y 01M?~ 2013Y 09M,126.9947222,37.51611111,126-59-41,37-30-58,199533.408,546292.263
POINT(196168.97183491254691035 546108.15325838245917112),117,Hangangdaegyo,1018683,MOLIT,101812,T/M,Hangang,24753.2,1030,330,43.4,444.8,2.07,18.566,Y,14,1918Y 08M?~ 2013Y 09M,1918Y 08M?~ 2013Y 09M,126.9566667,37.51444444,126-57-24,37-30-52,196168.972,546108.153
POINT(191416.76709671385469846 533934.0213648296194151),118,Anyang,1018690,MOLIT,101815,T/M,Hangang,242.4,,,19.3,0,16.85,23.368,N,6,1984Y 07M?~ 2013Y 09M,1986Y 01M?~ 2013Y 09M,126.9030556,37.40472222,126-54-11,37-24-17,191416.767,533934.021
POINT(190611.10233484630589373 539206.71761592000257224),119,Sihueng,1018693,MOLIT,101815,T/M,Hangang,139.73,,,12.75,0,6.369,14.742,N,5,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,126.8938889,37.45222222,126-53-38,37-27-08,190611.102,539206.718
POINT(186363.89975242721266113 542172.23078940424602479),120,Cheonwang,1018695,MOLIT,101815,T/M,Hangang,42.32,,,3.17,0,7.367,12.577,N,5,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,126.8458333,37.47888889,126-50-45,37-28-44,186363.9,542172.231
POINT(188874.36888907896354795 545436.45444941404275596),121,Sinjeong,1018697,MOLIT,101815,T/M,Hangang,214.06,,,5.96,0,2.996,15.916,N,7,2002Y 02M?~ 2013Y 09M,2002Y 02M?~ 2013Y 09M,126.8741667,37.50833333,126-52-27,37-30-30,188874.369,545436.454
POINT(183270.34128614165820181 555465.64470464736223221),122,Haengjudaegyo,1019630,MOLIT,101904,T/M,Hangang,25232.2,198,750,26.6,461.6,0.803,14.903,Y,15,1917Y 09M?~ 2013Y 09M,1994Y 01M?~ 2013Y 09M,126.8105556,37.59861111,126-48-38,37-35-55,183270.341,555465.645
POINT(170381.47645790799288079 566292.52358622732572258),123,Jeonryu,1019675,MOLIT,101907,T/M,Hangang,25696.84,760,580,14.87,479.6,-0.1,6.978,Y,9,1965Y 07M?~ 2013Y 09M,1978Y 01M?~ 2013Y 09M,126.6641667,37.69583333,126-39-51,37-41-45,170381.476,566292.524
POINT(196540.72186826713732444 612302.96029774053022265),124,Hoengsan,1021650,MOLIT,102109,T/M,Hangang,3999.7,,,75.3,0,31,44.279,N,12.2,2002Y 04M?~ 2013Y 09M,2002Y 04M?~ 2013Y 09M,126.9605556,38.11083333,126-57-38,38-06-39,196540.722,612302.96
POINT(201388.6925200525438413 611654.85280254657845944),125,Gun Nam Hong Su Jo Jul Ji,1021660,Kwater,102108,T/M,Hangang,,,,,,0,33.7,N,11,2013Y 07M?~ 2013Y 09M,2013Y 07M?~ 2013Y 09M,127.0158333,38.105,127-00-57,1938-06-18,201388.693,611654.853
POINT(201535.89037138954154216 606259.14279028307646513),126,Gunnam,1021680,MOLIT,102109,T/M,Hangang,4268,,,70.2,0,17.964,33.965,N,14,1999Y 03M?~ 2013Y 09M,1996Y 05M?~ 2013Y 09M,127.0175,38.05638889,0127-01-03,1938-03-23,201535.89,606259.143
POINT(232778.21164356166264042 627384.34402703784871846),127,Jangsu,1022626,MOLIT,102202,T/M,Hangang,358.42,,,7.81,,193.338,206.481,N,9,2011Y 12M?~ 2013Y 09M,2011Y 12M?~ 2013Y 09M,127.3744444,38.24611111,127-22-28,38-14-46,232778.212,627384.344
POINT(230545.42100382893113419 632679.12688055681064725),128,Jeongyeon,1022630,MOLIT,102203,T/M,Hangang,358.41,65,,82.33,0,187.501,196.629,N,9,2001Y 07M?~ 2013Y 09M,2001Y 07M?~ 2013Y 09M,127.3491667,38.29388889,127-20-57,38-17-38,230545.421,632679.127
POINT(223430.90861717824009247 613908.44108044332824647),129,Gwanin,1022640,MOLIT,102204,T/M,Hangang,1107.41,128,,48.97,0,91.718,99.715,N,10,1999Y 03M?~ 2013Y 09M,1997Y 07M?~ 2013Y 09M,127.2672222,38.125,127-16-02,1938-07-30,223430.909,613908.441
POINT(220713.20835561671992764 600272.90473810536786914),130,Eunhyun,1022648,MOLIT,102209,T/M,Hangang,240.04,,,0.63,,61.322,70.115,N,8,2008Y 10M?~ 2013Y 09M,2008Y 10M?~ 2013Y 09M,127.2358333,38.00222222,127-14-09,38-00-08,220713.208,600272.905
POINT(219003.54292794450884685 601070.39834242907818407),131,Yeongjung,1022650,MOLIT,102210,T/M,Hangang,465.88,191,,11.96,0,56.874,64.899,N,7,1999Y 03M?~ 2013Y 09M,1996Y 06M?~ 2013Y 09M,127.2163889,38.00944444,127-12-59,38-00-34,219003.543,601070.398
POINT(212537.5007357828435488 601982.89523689867928624),132,Gososung,1022655,MOLIT,102210,T/M,Hangang,551.2,,,4.7,,44.553,60.964,N,14,2006Y 12M?~ 2013Y 09M,2006Y 11M?~ 2013Y 09M,127.1427778,38.01777778,127-08-34,1938-01-04,212537.501,601982.895
POINT(206734.48577706937794574 599201.13303573115263134),133,Cheongsan,1022670,MOLIT,102213,T/M,Hangang,200.59,,,13.11,,27.429,36.242,N,8.5,2008Y 10M?~ 2013Y 09M,2008Y 10M?~ 2013Y 09M,127.0766667,37.99277778,127-04-36,37-59-34,206734.486,599201.133
POINT(204927.78126342414179817 600988.12207184836734086),134,Jeongok,1022680,MOLIT,102215,T/M,Hangang,2425.3,328,,7.17,0,19.806,37.056,N,14,1999Y 03M?~ 2013Y 09M,1996Y 05M?~ 2013Y 09M,127.0561111,38.00888889,0127-03-22,38-00-32,204927.781,600988.122
POINT(198536.65848736875341274 602990.87588769651483744),135,Samhwa,1023640,MOLIT,102301,T/M,Hangang,6678.3,,,58.39,,5.374,37.267,N,20,2011Y 12M?~ 2013Y 09M,2011Y 12M?~ 2013Y 09M,126.9833333,38.02694444,126-59-00,38-01-37,198536.658,602990.876
POINT(192874.33415888523450121 598307.32663823664188385),136,Jeogseong,1023660,MOLIT,102301,T/M,Hangang,6724.04,,,53.35,0,7.428,24.042,N,20,1999Y 03M?~ 2013Y 09M,1997Y 08M?~ 2013Y 09M,126.9188889,37.98472222,126-55-08,37-59-05,192874.334,598307.327
POINT(189289.72528117903857492 600315.34131287166383117),137,Samicheon,1023662,MOLIT,102302,T/M,Hangang,182.23,,,2.81,,5.687,23.297,N,12,2010Y 12M?~ 2013Y 09M,2010Y 12M?~ 2013Y 09M,126.8780556,38.00277778,126-52-41,38-00-10,189289.725,600315.341
POINT(177304.85870379250263795 589394.32317461911588907),138,TongIldaegyo,1023670,MOLIT,102304,T/M,Hangang,7409.55,838,,25.5,0,1.302,18.504,N,20,1999Y 03M?~ 2013Y 09M,1998Y 06M?~ 2013Y 09M,126.7419444,37.90416667,126-44-31,37-54-15,177304.859,589394.323
POINT(180972.40248312102630734 580166.27056550804991275),139,Moonsan,1023680,MOLIT,102306,T/M,Hangang,146.57,,,6.05,,2.072,13.346,Y,9,2012Y 09M?~ 2013Y 09M,2012Y 09M?~ 2013Y 09M,126.7838889,37.82111111,126-47-02,37-49-16,180972.402,580166.271
POINT(223834.68011415642104112 489293.0935886442894116),140,Anseong,1101610,MOLIT,110101,T/M,Anseongcheon,107.49,348,250,52.75,20.7,22.406,28.888,N,6,1964Y 04M?~ 2013Y 09M,1962Y 11M?~ 2013Y 09M,127.2677778,37.00222222,127-16-04,37-00-08,223834.68,489293.094
POINT(216274.98589412297587842 486099.99854423943907022),141,Gongdo,1101620,MOLIT,110107,T/M,Anseongcheon,367.5,,,42.62,0,8.321,15.809,N,8,1996Y 09M?~ 2013Y 09M,1995Y 08M?~ 2013Y 09M,127.1827778,36.97361111,127-10-58,36-58-25,216274.986,486099.999
POINT(209869.29767036138218828 485720.20281374920159578),142,Yangryeong,1101630,MOLIT,110107,T/M,Anseongcheon,489.42,351,1400,36.95,24.7,3.761,12.825,N,8,1930Y 07M?~ 2013Y 09M,1929Y 01M?~ 2013Y 09M,127.1108333,36.97027778,127-06-39,36-58-13,209869.298,485720.203
POINT(207122.46241551049752161 487197.14917702943785116),143,Pyeongtaek,1101635,MOLIT,110107,T/M,Anseongcheon,585.9,,,33.25,32.3,0.129,11.855,N,10,1930Y 07M?~ 2013Y 09M,1965Y 01M?~ 2013Y 09M,127.08,36.98361111,127-04-48,36-59-01,207122.462,487197.149
POINT(205331.2437771444383543 503996.79342982557136565),144,Tapdong,1101645,MOLIT,110111,T/M,Anseongcheon,126.3,,,4.92,,10.736,20.836,N,8,2009Y 10M?~ 2013Y 09M,2009Y 10M?~ 2013Y 09M,127.06,37.135,127-03-36,1937-08-06,205331.244,503996.793
POINT(199975.31264343927614391 502731.1685132616548799),145,Songsan,1101650,MOLIT,110113,T/M,Anseongcheon,237.61,292,740,3.62,30,4.333,12.668,N,5,1935Y 07M?~ 2013Y 09M,1932Y 06M?~ 2013Y 09M,126.9997222,37.12361111,126-59-59,1937-07-25,199975.313,502731.169
POINT(204617.89942672871984541 499557.17884977522771806),146,Jinwi,1101663,MOLIT,110114,T/M,Anseongcheon,202.8,,,19.61,,5.334,15.783,N,7,2010Y 12M?~ 2013Y 09M,2010Y 12M?~ 2013Y 09M,127.0519444,37.095,0127-03-07,37-05-42,204617.899,499557.179
POINT(202568.20914985370473005 499679.6171757613774389),147,Hoehwa,1101665,MOLIT,110114,T/M,Anseongcheon,357.9,236,670,17.11,33.1,4.977,12.681,N,7.2,1930Y 07M?~ 2013Y 09M,1929Y 01M?~ 2013Y 09M,127.0288889,37.09611111,127-01-44,37-05-46,202568.209,499679.617
POINT(199777.62390861345920712 494839.31066448730416596),148,Dongyeongyo,1101670,MOLIT,110115,T/M,Anseongcheon,652.8,,,11.11,0,-0.283,12.757,N,10,1986Y 06M?~ 2013Y 09M,1986Y 01M?~ 2013Y 09M,126.9975,37.0525,126-59-51,1937-03-09,199777.624,494839.311
POINT(202992.63979906300664879 486578.14598327630665153),149,Paengseong,1101680,MOLIT,110116,T/M,Anseongcheon,1405.98,,,25.75,,0.296,13.965,N,,2007Y 05M?~ 2013Y 09M,2007Y 05M?~ 2013Y 09M,127.0336111,36.97805556,0127-02-01,36-58-41,202992.64,486578.146
POINT(157883.18824461777694523 570354.92067577911075205),150,Ganghwa,1201620,MOLIT,120104,T/M,Hangangseohae,,,,0,0,0.135,7.151,Y,12,2002Y 10M?~ 2013Y 09M,2002Y 10M?~ 2013Y 09M,126.5222222,37.73194444,126-31-20,37-43-55,157883.188,570354.921
POINT(343171.36190171825001016 609613.01939754746854305),151,Yangyang,1301658,MOLIT,130107,T/M,Hangangdonghae,447.59,,,3.73,0,0.502,10.238,N,8,2006Y 01M?~ 2013Y 09M,2006Y 01M?~ 2013Y 09M,128.6316667,38.07527778,128-37-54,38-04-31,343171.362,609613.019
POINT(364825.52228986960835755 573127.48777454218361527),152,Gangryung,1302648,MOLIT,130204,T/M,Hangangdonghae,180.5,197,3000,8.59,26.35,15.631,23.26,N,6,1982Y 08M?~ 2013Y 09M,1946Y 06M?~ 2013Y 09M,128.87,37.74305556,128-52-12,37-44-35,364825.522,573127.488
POINT(387952.93249581125564873 544960.94079054123722017),153,Bukpyeong,1302668,MOLIT,130207,T/M,Hangangdonghae,112.37,196,220,2.1,16.3,0.192,8.33,N,6,2006Y 01M?~ 2013Y 09M,2006Y 01M?~ 2013Y 09M,129.125,37.485,0129-07-30,37-29-06,387952.932,544960.941
POINT(391857.71786437014816329 539805.2441689275437966),154,SamcheoK,1303680,MOLIT,101700,T/M,Hangang,391.1,,,2.37,0,-1.65,9.517,N,10,2006Y 01M?~ 2013Y 09M,2006Y 01M?~ 2013Y 09M,129.1677778,37.43777778,0129-10-04,37-26-16,391857.718,539805.244
POINT(379389.65932993264868855 501584.9027892179437913),155,jangseong,2001610,MOLIT,200101,T/M,Nakdonggang,,,,,,552.148,560.849,N,10,2009Y 10M?~ 2013Y 09M,2009Y 10M?~ 2013Y 09M,129.0177778,37.09611111,0129-01-04,37-05-46,379389.659,501584.903
POINT(383270.14387928659562021 483252.49817302392330021),156,buncheon,2001628,MOLIT,200103,T/M,Nakdonggang,,,,,,320.26,327.744,N,10,2009Y 10M?~ 2013Y 09M,2009Y 10M?~ 2013Y 09M,129.0569444,36.93027778,0129-03-25,36-55-49,383270.144,483252.498
POINT(378404.24910430581076071 477935.99553866439964622),157,Socheon,2001630,Kwater,200105,T/M,Nakdonggang,652,,,420,0,250.079,262.029,N,9.7,1985Y 08M?~ 2013Y 09M,1987Y 06M?~ 2013Y 09M,129.0011111,36.88333333,129-00-04,36-52-60,378404.249,477935.996
POINT(369639.94869003805797547 475104.17789925477700308),158,ungok,2001655,MOLIT,200106,T/M,Nakdonggang,,,,,,196.661,204.956,N,10,2009Y 10M?~ 2013Y 09M,2009Y 10M?~ 2013Y 09M,128.9022222,36.85944444,128-54-08,36-51-34,369639.949,475104.178
POINT(369337.4260914942715317 464118.01509419758804142),159,Dosan,2001660,Kwater,200108,T/M,Nakdonggang,1163,,,384,0,168,173.473,N,8,1984Y 07M?~ 2013Y 09M,1987Y 06M?~ 2013Y 09M,128.8963889,36.76055556,128-53-47,36-45-38,369337.426,464118.015
POINT(388353.91657955414848402 452578.40636247966904193),163,Geomam,2002620,Kwater,200203,T/M,Nakdonggang,334,,,415,0,209.601,216.454,N,9,1965Y 07M?~ 2013Y 09M,1962Y 11M?~ 2013Y 09M,129.1063889,36.65305556,0129-06-23,36-39-11,388353.917,452578.406
POINT(382039.8841153746470809 429093.00393993710167706),167,Cheongsong,2002655,Kwater,200209,T/M,Nakdonggang,305,,,386,0,172.454,179.988,N,7,1987Y 06M?~ 2013Y 09M,1987Y 06M?~ 2013Y 09M,129.0302778,36.44277778,129-01-49,36-26-34,382039.884,429093.004
POINT(365251.47393714782083407 439149.03183583403006196),170,Imha Regulation Dam,2002680,Kwater,200211,T/M,Nakdonggang,1376,,,12,0,95,114.155,N,13,1980Y 08M?~ 2013Y 09M,1987Y 06M?~ 2013Y 09M,128.8452778,36.53638889,128-50-43,36-32-11,365251.474,439149.032
POINT(371378.32052477519027889 427641.41556047915946692),171,Gilan,2002685,MOLIT,200213,T/M,Nakdonggang,411.65,,,14.5,0,138.546,145.188,N,5,1987Y 06M?~ 2013Y 09M,1987Y 06M?~ 2013Y 09M,128.9111111,36.43166667,128-54-40,36-25-54,371378.321,427641.416
POINT(360776.80353280669078231 438879.33017663995269686),172,Imha,2002692,Kwater,200215,T/M,Nakdonggang,1892,,,347,0,89.988,100.81,N,11,1987Y 06M?~ 2013Y 09M,1987Y 06M?~ 2013Y 09M,128.7952778,36.53472222,128-47-43,36-32-05,360776.804,438879.33
